<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190117,000000,1.1384000,1.1399700,1.1369600,1.1394900,21003000
20190118,000000,1.1391000,1.1404800,1.1387000,1.1403700,3727000
20190122,000000,1.1351300,1.1363200,1.1345000,1.1359000,13384000
20190123,000000,1.1369400,1.1369400,1.1351400,1.1365000,6539000
20190124,000000,1.1376000,1.1376000,1.1328000,1.1342200,10521000
20190125,000000,1.1320400,1.1342000,1.1312700,1.1340000,7934000
20190128,000000,1.1410000,1.1419400,1.1392000,1.1411000,7419000
20190129,000000,1.1432400,1.1446700,1.1428500,1.1434000,14862000
20190130,000000,1.1428500,1.1438500,1.1422000,1.1428000,7936000
20190131,000000,1.1495500,1.1508000,1.1468400,1.1480000,5972000
20190201,000000,1.1440700,1.1470000,1.1437300,1.1469400,6892000
20190204,000000,1.1441900,1.1452000,1.1436300,1.1451500,7085000
20190205,000000,1.1430200,1.1430200,1.1411100,1.1418300,7809000
20190206,000000,1.1386900,1.1394100,1.1380000,1.1382000,11170000
20190207,000000,1.1355000,1.1361100,1.1325000,1.1325000,11164000
20190208,000000,1.1332900,1.1339900,1.1322000,1.1334600,17937000
20190211,000000,1.1326900,1.1327400,1.1296700,1.1312000,17651000
20190212,000000,1.1282500,1.1287700,1.1256700,1.1277000,10369000
20190213,000000,1.1331900,1.1332800,1.1311700,1.1320000,6858000
20190214,000000,1.1272600,1.1286700,1.1248000,1.1266800,12167000
20190215,000000,1.1286200,1.1287500,1.1268000,1.1273200,11328000
20190219,000000,1.1294400,1.1321400,1.1279900,1.1281500,7077000
20190220,000000,1.1333000,1.1356800,1.1329500,1.1333400,4174000
20190221,000000,1.1326400,1.1358400,1.1319000,1.1335900,6394000
20190222,000000,1.1340400,1.1348300,1.1330600,1.1333200,4684000
20190225,000000,1.1350000,1.1364500,1.1344000,1.1362300,26096000
20190226,000000,1.1349300,1.1367000,1.1344500,1.1360700,5568000
20190227,000000,1.1373400,1.1400500,1.1373000,1.1393600,5584000
20190228,000000,1.1368400,1.1412600,1.1366500,1.1412000,16798000
20190301,000000,1.1360000,1.1378600,1.1353000,1.1378600,8587000
20190304,000000,1.1365500,1.1368000,1.1329200,1.1329200,3801000
20190305,000000,1.1322900,1.1336300,1.1315000,1.1331900,5245000
20190306,000000,1.1301000,1.1306500,1.1296000,1.1303100,6496000
20190307,000000,1.1299700,1.1316900,1.1298900,1.1305000,24564000
20190311,000000,1.1234200,1.1255000,1.1233000,1.1241000,12798000
20190312,000000,1.1256400,1.1281100,1.1251600,1.1253000,9485000
20190313,000000,1.1286300,1.1301900,1.1280000,1.1301900,9612000
20190314,000000,1.1314900,1.1330000,1.1298900,1.1298900,9192000
20190315,000000,1.1315000,1.1323900,1.1309500,1.1317300,8618000
